City,Population,Lat,Long
Taunusstein,30810,50.1396,8.1496
Telgte,20222,51.9826,7.7838
Teltow,27697,52.3975,13.2753
Tettnang,20037,47.6682,9.5916
Traunreut,21102,47.9617,12.5987
Traunstein,21251,47.8678,12.6384
Trier,112195,49.7500,6.6371
Troisdorf,76251,50.8177,7.1430
Tuttlingen,37458,47.9823,8.8192
Tönisvorst,29319,51.3275,6.4438
Tübingen,92811,48.5216,9.0576
Uelzen,33934,52.9658,10.5580
Uetze,20471,52.4648,10.2035
Ulm,128928,48.4011,9.9876
Unna,60892,51.5426,7.6853
Unterhaching,25873,48.0689,11.6213
Unterschleißheim,29523,48.283,11.567
Vaihingen an der Enz,29305,48.9334,8.9612
Varel,24397,53.3962,8.1368
Vaterstetten,25530,48.1057,11.7754
Vechta,33769,52.7292,8.2839
Velbert,82445,51.3371,7.0427
Verden,28526,52.9348,9.2330
Verl,25522,51.8819,8.5061
Versmold,22274,52.0412,8.1484
Viernheim,34534,49.5412,8.5785
Viersen,78208,51.2555,6.3965
Villingen-Schwenningen,88213,48.0594,8.4641
Voerde,36196,51.6005,6.6544
Vreden,23161,52.0354,6.8245
Völklingen,40192,49.2556,6.8589
Wachtberg,20581,50.6199,7.0870
Waghäusel,21444,49.2495,8.5154
Waiblingen,56081,48.8294,9.3186
Waldkirch,22127,48.0915,7.9586
Waldkraiburg,24488,48.2087,12.4016
Waldshut-Tiengen,24605,47.6327,8.2719
Wallenhorst,22989,52.3492,8.0053
Walsrode,30819,52.8617,9.5931
Waltrop,29644,51.6216,7.4031
Wandlitz,24104,52.7542,13.4728
Wangen im Allgäu,27411,47.6875,9.8318
Warburg,23322,51.4899,9.1452
Waren,21267,53.5162,12.6819
Warendorf,37616,51.9539,7.9909
Warstein,24647,51.4492,8.3558
Wedel,34538,53.5824,9.7137
Wedemark,29814,52.5458,9.7336
Wegberg,28074,51.1423,6.2816
Weiden in der Oberpfalz,43052,49.6744,12.1489
Weil am Rhein,30769,47.5934,7.6198
Weilheim in Oberbayern,23056,47.8407,11.1421
Weimar,65620,50.9795,11.3235
Weingarten,25257,47.8096,9.6380
Weinheim,45275,49.5450,8.6603
Weinstadt,27088,48.8109,9.3644
Weiterstadt,26322,49.8992,8.5991
Weißenfels,39041,51.1973,11.9689
Werdau,20702,50.7289,12.3752
Werder,27039,52.3648,12.8701
Werl,31045,51.5584,7.9114
Wermelskirchen,34739,51.1405,7.2210
Werne,29680,51.6650,7.6314
Wernigerode,32024,51.8368,10.7844
Wertheim,23196,49.7586,9.5129
Wesel,61330,51.6643,6.6296
Wesseling,38192,50.8256,6.9725
Westerstede,23854,53.2551,7.9264
Westoverledingen,21678,53.1540,7.4420
Wetter,27550,51.3860,7.3915
Wetzlar,54187,50.5590,8.5082
Weyhe,31672,52.9830,8.8505
Wiehl,25314,50.9487,7.5609
Wiesbaden,283083,50.0782,8.2398
Wiesloch,27049,49.2954,8.6962
Wildeshausen,21154,52.8916,8.4259
Wilhelmshaven,76089,53.5323,8.1069
Willich,50144,51.2655,6.5443
Winnenden,29245,48.8750,9.3971
Winsen,36295,53.3574,10.2127
Wipperfürth,21112,51.1180,7.3955
Wismar,43878,53.8979,11.4516
Witten,95897,51.4439,7.3532
Wittmund,20773,53.5766,7.7733
Wolfenbüttel,52681,52.1640,10.5408
Wolfsburg,125961,52.4227,10.7865
Worms,84646,49.6341,8.3507
Wunstorf,41689,52.4208,9.4433
Wuppertal,358876,51.2562,7.1508
